recipe name,Category,Description,,,,
Creamy Southern Shrimp and Cheese Grits,dinner,"I came up with this recipe when I couldn't find anything else that would satisfy my cravings for a gourmet shrimp and grits without spending a ton of money at restaurants. This is simple and delicious, and is made with things we mostly all have in our homes. Use chicken stock in grits, if you prefer.",,,,
Robins Cheesy Chipotle Grits,breakfast,"These spicy, creamy grits are a hit at every family barbeque. People ask me for the recipe every time I make them.",,,,
Stuffed Tomatoes with Grits and Ricotta,breakfast,This recipe makes a great appetizer. I spent a lot of time experimenting with ingredients and finally concluded that this recipe you now see listed turned out to be the best. The grits give a unique texture to the sharp flavors of the Parmesan and Asiago cheeses.,,,,
Instant Pot Cream Cheese Grits,breakfast,These grits are fast to make and combine cream cheese and Cheddar cheese. A touch of truffle salt elevates these grits an extra notch. Serve as a side dish for seafood or sausage.,,,,
Creamy Grits,dinner,"These creamy grits are a fantastic side dish, and addictive!",,,,
TVs Grits Casserole,breakfast,Grits are delicious and filling. This is truly a Southern comfort food. Good anytime. Enjoy.,,,,
Gourmet Wasabi Grits,breakfast,"My budding gourmet chef husband invented this one morning as a perfect side to his wonderful Lump Crab Meat Swiss Cheese Omelets!
Can't wait to serve it to dinner guests with a nice piece of Marinated Steel Head Salmon and steamed Asparagus!",,,,
Microwave Corn Cheese Grits in a Mug,dinner,This is a deliciously cheesy way to start your morning.,,,,
Mrs. Paysons SPAM and Grits Brunch Casserole,dinner,"You've got to try this! It converts any SPAM or grits-haters that may be lurking in your house. Put this together the night before, and sleep in late!",,,,
Air Fryer Beef Kofta Kabobs with Tzatziki,dinner,"I came up with these air fryer beef kofta kabobs when I had a craving for kofta but it was pouring down rain. It is so easy to prepare and the air fryer gives it a nice grill-like char. If you are using bamboo skewers, soak them in water for 20 minutes before adding the meat.",,,,
Beef and Mushroom Dumplings in Broth,dinner,"This is a flavor-packed recipe of ground beef and mushroom-filled dumplings in a savory broth. Top with a drizzle of sesame oil, green onions, and sesame seeds for an extra burst of flavor!",,,,
John Wayne Casserole,dinner,I made this John Wayne casserole on a lark and it ended up being one of the best one-pan meals I've discovered!,,,,
Ground Beef Stroganoff Noodles,dinner,"These ground beef stroganoff noodles are a shortcut version of classic beef stroganoff in a one-pan version. The ultimate comfort food with flavorful ground beef, mushrooms, and egg noodles.",,,,
One Pot Tortellini Bake,dinner,"This main dish comes together in under an hour and the best part, it cooks in one pot. Serve with crusty garlic bread and a nice green salad if desired.",,,,
Korean Barbecue-Style Meatballs,lunch,"I love anything Korean-BBQ style and I really love meatballs, so I knew I was going to love theseand I did! Make sure you deactivate the enzymes of the fresh ginger by soaking it in 1 tablespoon of vinegar for 5 minutesotherwise your meatballs will turn out soggy. Alternatively you can add the ginger to the sauce.",,,,
Homemade Smash Burgers,dinner,"This smash burger recipe makes super juicy burgers with crispy edges. Don't use meat that is leaner than 80/20 for best results, and make sure the meat is very cold. I prefer to cook these outdoors to avoid smoking up the kitchen. These grill up very fast because of the high heat, so make sure you have everything ready to go!",,,,
Manti Armenian Dumplings,appetizer,"If you ever wished for dumplings that are shaped like boats with the meat visible inside, try making these Armenian dumplings called manti. You can use either ground beef or ground lamb and they are traditionally served with either plain yogurt or a yogurt-based sauce.",,,,
Lasagna Casserole,dinner,This lasagna casserole is the perfect winter dinner! It's gone in seconds in my house. Make sure to use whole-milk ricotta and use more red pepper if you like it hotter.,,,,
Empanadas Beef Turnovers,lunch,"This beef empanada recipe is made with Goya Discos pastry rounds and a mouthwatering filling of seasoned ground beef, tomatoes, onions, and garlic. Enjoy these flaky, deep-fried empanadas as an appetizer, a main dish, or even after your main course.",,,,
Easy Meatloaf,dinner,"This meatloaf recipe doesn't take long to make at all, and it's very good!",,,,
Sloppy Joes,dinner,These crowd-pleasing Sloppy Joe sandwiches will take you back to your childhood! This is my mom's recipe and it always gets compliments!,,,,
Best Meatloaf,dinner,"This is the best meatloaf recipe ever and comes complete with a yummy glaze. It will knock your socks off! My mom never made meatloaf when I was growing up so when I moved out on my own, I started experimenting with different recipes and this is my best creation.",,,,
Salisbury Steak,dinner,Salisbury steaks with a savory onion sauce. This yummy recipe has been in my family for years. It's easy to cook but tastes like it took hours to make! I usually make enough extra sauce to pour over mashed potatoes.,,,,
Chef Johns Italian Meatballs,dinner,"This Italian meatball recipe is very easy to make, and since we skip the messy step of pan-frying the meatballs, it becomes downright simple. Here I use a standard half-beef/half-pork mixture. Once the meatballs are baked, add them to your favorite prepared tomato sauce and simmer for 1 to 2 hours.",,,,
Baked Ziti,dinner,"This baked ziti is always a hit! A lady I worked with brought this in one day, and everyone loved it. Now it is the favorite of all my dinner guests. I have made this also without the meat, and it is well received.",,,,
Hamburger Steak with Onions and Gravy,dinner,"Tasty hamburger ""steaks"" smothered in gravy and onions. Serve with hot rice or potatoes for an easy-to-make dinner classic. It's a great way to dress up a pound of ground beef and you probably have all the ingredients on hand!",,,,
Stuffed Peppers,dinner,Stuffed peppers with ground beef and rice are topped with a seasoned tomato sauce.,,,,
Juiciest Hamburgers Ever,dinner,"No more dry, lackluster hamburgers. These are juicy, and spices can be easily added or changed to suit anyone's taste. If you find the meat mixture too mushy, just add more bread crumbs until it forms patties that hold their shape.",,,,
Simple Beef Stroganoff,dinner,"This rich and creamy ground beef stroganoff with egg noodles is super simple to prepare, and ready to serve in under 30 minutes making it a great choice for busy weeknights. Garnish with freshly chopped parsley for added color and flavor.",,,,
The Best Meatballs,dinner,"Learn how to make meatballs with this recipe that is the best meatball recipe I have ever tried! I've used the combination of pork, beef, and veal but you can make them with just ground beef and they still taste great. Definitely use fresh bread crumbs and freshly grate your cheese instead of using the canned variety... It really does make a difference!",,,,
Italian Baked Meatballs,dinner,These baked meatballs are tender and tasty. I also freeze these meatballs and take out how many I need for each meal.,,,,
Easy Homemade Chili,lunch,Homemade chili is delicious and goes great with cornbread or over corn chips for a chili pie! I like to use spicy pinto beans.,,,,
Air Fryer Meatballs,dinner,"After trying air fryer meatballs, I will never bake them in the oven again. The insides stay nice and tender while the outsides get a slight crisp on them. The best part is that you can make them ahead of time and freeze for later use. I have included those directions in the notes. Dip meatballs in marinara, if desired.",,,,
Asian Lettuce Wraps,dinner,"These lettuce wraps are bursting with Asian flavors, delicious, and a great idea for entertaining or a family-style meal. To serve, allow each person to spoon a portion of the beef mixture into a lettuce leaf. Wrap the lettuce around the beef like a burrito and enjoy!",,,,
Stuffed Cabbage Rolls,dinner,"This cabbage rolls recipe is super easy to prep with cabbage leaves, ground beef, rice, and condensed tomato soup. I have been using this recipe for well over 20 years and still love it! To speed things up the rolls are cooked in a skillet on the stovetop but this recipe also works well in a slow cooker.",,,,
Classic Goulash,dinner,This meaty goulash recipe is easy to make on the stovetop but can also be done in a slow cooker. Inspired by Paula Deen's Bobby's Goulash.,,,,
"Easy Bacon, Onion, and Cheese-Stuffed Burgers",dinner,"These wonderful cheese-stuffed burgers with bacon and caramelized onions are easy to adapt to suit different tastes. My kids, who normally don't have onions on their burgers, really enjoyed these. You can pan-fry them instead of grilling if you prefer.",,,,
Hamburger Potato Casserole,dinner,"This hamburger potato casserole is a recipe that my grandmother used to keep me and my finicky cousins well-fed! It is very kid-friendly, and adults like it too!",,,,
Best Hamburger Ever,dinner,The best burger recipe for summertime grilling! This juicy burger is jam-packed with all kinds of stuff and has no tasteless bread crumbs. Serve on buns with your favorite condiments.,,,,
Easy Korean Ground Beef Bowl,dinner,This Korean beef bowl is quick and easy to make. The ingredients can easily be adjusted to suit your taste. Serve over warm rice or spiralized vegetables.,,,,
Best Damn Chili,dinner,"This is my best chili recipe. After years of adjusting recipes that were either too spicy or too mild, everyone loves this. Even my finance who hates chili.",,,,
Slow Cooker Taco Soup,dinner,"This is a quick, throw together slow cooker soup packed with all the flavors you'd expect in a Tex-Mex chili. Simply adjust to your taste, adding more taco seasoning, or freshly chopped jalapeno peppers for extra heat. Teenagers love this soup topped with tortilla chips, shredded Cheddar cheese and a dollop of sour cream.",,,,
Just Like Wendys Chili,dinner,"After trying several Wendy's chili recipe clones and adjusting them to my tastes, I've concocted what I think is the best. Serve it topped with finely diced white onions and/or shredded cheese. Enjoy!",,,,
Boilermaker Tailgate Chili,dinner,This boilermaker chili recipe is the one the gang eats at Purdue Boilermaker football games. I always prep and cook the chili the night before and then reheat it the next day. This is a combination of many different tomato-based chili recipes.,,,,
The Perfect Basic Burger,dinner,These burger patties are made with ground beef and an easy bread crumb mixture. Nothing beats a simple hamburger on a warm summer evening. Pile these burgers with your favorite condiments and pop open a cool drink!,,,,
Jeffs Hot Dog Chili,dinner,This hot dog chili recipe took me many years to get just right! It reminds me of the chili I had as a kid.,,,,
Shepherds Pie,lunch,"This shepherd's pie is a comforting casserole of savory ground beef stew, topped with a layer of cheesy mashed potato that's guaranteed to satisfy even the pickiest of eaters. Plus, it's a great way to sneak some extra veggies into dinner!",,,,
Homemade Chili,dinner,My boys and husband love this homemade beef chili recipe with beans that I make in the slow cooker. Add some corn chips or Cheddar cheese and it is always a winner.,,,,
Meatball Sandwich,dinner,"Meatball sub made with deliciously seasoned homemade meatballs, tomato sauce, and melted provolone cheese served on a lightly toasted baguette.",,,,
Air Fryer Meatloaf,lunch,This simple air fryer meatloaf is easy to make and ready to eat in less than an hour.,,,,
Meat Pie,dinner,"This meat pie is delicious! I got it from my husband's mother. She is French so I believe this is a French meat pie recipe. Beef, pork, and potato are all nicely spiced and baked together. It's yummy and pretty easy to make too! It's best served fresh, but you can also make it ahead and freeze or refrigerate it. Serve the pie by itself or with a beef gravy.",,,,
Traditional Gyro Meat,dinner,"This delicious gyro meat is the closest I've come to emulating my favorite Mediterranean restaurant's recipe. The Greek/Lebanese-style meatloaf is sliced and served with pita bread, tzatziki, and tomatoes. The preparation time seems long, but most of it is resting time, so you can be doing other things!",,,,
Homemade Sloppy Joes,dinner,"Homemade Sloppy Joes don't have to be difficult to eat. Despite the name of this iconic retro dish, the secret to a great Sloppy Joe is a thick, rich, almost dry consistency, which allows the sandwich to be eaten with your hands. Serve on hamburger buns.",,,,
Unstuffed Cabbage Roll,lunch,"This is an easy casserole made with ground beef, cabbage, garlic, and tomatoes. My kids don't even like cabbage, but they love this. Serve with rice for a comforting weeknight dinner. Also, the longer it stands the better it tastes!",,,,
Slow Cooker Chili,appetizer,"This slow cooker chili is packed with beans, veggies, and spices. The crockpot is a great way to make this beefy chili.",,,,
Best Chicken Patties,dinner,"Chicken patties are a great alternative to chicken nuggets. Change up your dinner routine with these crispy fritters. Kids will love them, and leftovers are great in sandwiches. Serve with chips and a salad.",,,,
Authentic Vietnamese Spring Rolls Nem Ran Hay Cha Gio,dinner,"These Vietnamese fried spring rolls are a recipe I learned while traveling through Vietnam. The ingredients are relatively simple and easy to find in any grocery store. I've cooked this several times since returning, and it's always been a hit. They taste great with dipping sauce.",,,,
Quinoa Chicken,dinner,"This chicken and quinoa recipe is incredibly easy, delicious, and spicy! Taste-test approved by a very picky 3-year-old.",,,,
Keto Chicken Crust Pizza,lunch,"This chicken pizza crust is a great-tasting option if you're on the keto diet. Once the crust is baked, top it with your favorite toppings, or eat it as-is with more cheese and fresh basil on top.",,,,
Homemade Grain-Free Dog Food,dinner,"I developed this homemade grain-free dog food because my dog is getting older and his health has become more of a priority. I worry about how many nutrients kibble may lose through the cooking process. This food includes all of the vitamins, minerals, and essential fatty acids that my dog needs. It took me a bit of research to figure out what foods to use and in what proportions. The protein ingredients include liver and poultry (dark meat poultry is best), sunflower oil for linoleic acid, and 10 other essential amino acids that dogs need in their diet.",,,,
Chicken Wonton Tacos,dinner,"Light and tasty, these make a great appetizer or a quick and easy main dish! Kids love them! Finally a dish that makes use of ground chicken but not so far-fetched. I bake the wonton wrappers to save time and it eliminates most of the fat. Although time-consuming, you can fry wrappers in sesame or olive oil for the extra flaky shells, folded in a triangle for about 1 minute on each side. I loved the ones at Applebee's and decided to attempt a home version. I was extremely pleased with the healthier version! Top tacos with cilantro, red onion, or sweet onion, if desired. Serve lime wedges on the side.",,,,
Slow Cooker Ground Chicken Chili,dinner,"After trying out many mediocre chili recipes over the years, I decided to create my own hearty chicken chili with a little kick to it in a slow cooker.",,,,
Ground Chicken Burgers,lunch,These flavorful ground chicken burgers are a delicious alternative to beef and will keep you grilling from spring to fall. Top with spicy cheese or BBQ sauce.,,,,
Buffalo Chicken Stuffed Shells,dinner,"This is a hit for football Sundays. For a thicker stuffing, drain ricotta overnight. Serve with ranch and blue cheese dressing for dipping.",,,,
Thai Chicken Larb,lunch,"Found this through Carnie Wilson, she calls it chicken larbito, although in Thai restaurants it's just called larb. Delicious! Enjoy on lettuce wraps or pieces of a cabbage wedge!",,,,
Chicken Meatballs,dinner,"These chicken meatballs are stuffed with mozzarella cheese. They're absolutely delicious with pasta, marinara sauce, and homemade garlic bread.",,,,
Chicken Lettuce Wraps,dinner,"These are so yummy! They taste really close to the lettuce wraps that you can order from that famous Asian restaurant chain. The number of will depend on if this is an appetizer or main course for you and how big you make them. If an appetizer, then maybe 6; if a main dish, then 4.",,,,
Air Fryer Chicken Kiev Balls,appetizer,"These chicken Kiev balls are crispy on the outside, tender on the inside, stuffed with seasoned butter, and sure to be a hit on game day or any day of the year. Bonus is that this recipe uses ground chicken, so no pounding is required!",,,,
Creamy Chicken and Broccoli Casserole,dinner,This casserole is a hit with my whole family. Even my children enjoy eating their broccoli with this homemade meal.,,,,
Chicken Cordon Bleu Bites,lunch,I created this recipe for chicken Cordon Bleu bites to duplicate some appetizers I had last summer at Stew Leonard's famous dairy retail store in Connecticut. They are great as appetizers or as fun food for kids. I love to make them with bread crumbs seasoned with Parmesan cheese. Enjoy!,,,,
Cheesy Chicken Meatballs,dinner,"I have abandoned fatty ground beef in favor of healthier options such as ground chicken and turkey. I can ensure with the perfect additions, these will not be bland nor dry - you will not be missing the beef here.",,,,
Chicken and Feta Burgers,dinner,"These Mediterranean-inspired chicken patties are a light contrast to your beef burgers and complement any backyard get-together. If you use all-breast meat, add some olive oil to the meat mixture so they don't dry out. You could also use 2 tablespoons chopped Kalamata olives instead of the tapenade. Use tzatziki sauce on top to stay with the Mediterranean flavors or use a sesame dressing with shredded lettuce for an Asian taste.",,,,
Spicy Creole Chili,dinner,"Andouille sausage and ground chicken simmered together with Cajun spices, green bell pepper, and zesty tomatoes for a twist on a spicy chili.",,,,
Garlic Butter Zoodles with Chicken Meatballs,dinner,"These garlic butter chicken meatballs with zucchini noodles are low carb, gluten free, and all around better for you without skipping out on any of the tastiness.",,,,
Buffalo Chicken Burgers with Blue Cheese Dressing,dinner,This burger delivers the bold flavors of Buffalo wings minus the mess and calories. Serve with additional hot sauce on the side.,,,,
Mexican Chicken Tortilla Lasagna,dinner,"Pasta is replaced by corn tortillas in this Mexican-Italian mashup lasagna recipe. Instead of the traditional pasta, tomato sauce, and mozzarella, this version features tortillas, enchilada sauce, zesty diced tomatoes, and queso fresco cheese.",,,,
Greek Chicken Burgers with Feta,dinner,These grilled Greek-style chicken burgers have a surprise feta cheese filling.,,,,
Buffalo Chicken Chili,appetizer,"I won a blind taste test chili cookoff with this Buffalo chicken chili against nine traditional beef chilis! Garnish with shredded Tex-Mex cheese, crushed corn chips, and sour cream.",,,,
Keto Chicken Cordon Bleu Meatballs,dinner,"These chicken Cordon Bleu meatballs are ham-stuffed chicken meatballs topped with a creamy Swiss cheese sauce. They are delicious served over zucchini noodles, mashed cauliflower, or simply on their own! A great way to use up leftover ham. I've used diced ham, however cubed ham works better as the meatballs keep their shape better. Grate your own cheese; it melts much better than the pre-shredded variety.",,,,
Thai Chicken Balls,dinner,These Thai chicken meatballs are so tasty. You have to try them!,,,,
Thai Ground Chicken Basil,dinner,"This delicious recipe most closely resembles my favorite Thai restaurant's Ground Chicken Basil. I've searched for recipes, but none gave this authentic taste. It's quick and easy, too! Serve with steamed rice if you like.",,,,
Spiced Chicken Loaf,dinner,"A mixture of ground chicken with stuffing mix, cheese, egg, onion, and seasonings baked into a tangy tasty chicken loaf.",,,,
Super Easy Polish Cabbage Rolls,dinner,"This is a very easy way to make chicken cabbage rolls. They taste great with little work involved. I'm Polish and love them, but this recipe sure beats the lengthy one my dad used.",,,,
Baked Chicken Burgers with Mushrooms and Spinach,dinner,"Try these baked chicken burgers in the oven as an alternative to hamburgers! Added mushrooms and onions give great texture to these burgers, with a little amped-up flavor as well. With buns and traditional burger fixings, or with your own twist, put a little something different on the table tonight.",,,,
Mexican Chicken Meatball Soup Sopa de Albndigas de Pollo,dinner,"This albndigas de pollo is a delicious soup recipe. Ground chicken meatballs are simmered in chicken broth with zucchini and chayote. I like to serve it with fresh spinach, chopped avocado, lemon juice, and chipotle chile peppers.",,,,
Chicken Cheesesteak,dinner,This chicken cheesesteak recipe is a lifesaver when I come home from work exhausted. It is very easy to make in just 10 minutes and everyone is happy.,,,,
Ginger Chicken Meatballs,dinner,This is a twist on the traditional meatball recipe. Enjoy! Top with sliced scallions.,,,,
Ground Chicken Stew,dinner,A healthy and hearty ground chicken stew. Serve with whole grain rice.,,,,
Easy Baked Ground Chicken Burgers,dinner,"With this burger, you may not even miss the beef. The bacon gives this the perfect 80/20 fat ratio, so don't skip it.",,,,
Baked Chicken Burger,dinner,The fresh basil is the star ingredient in this burger recipe... combined with the smokiness from the liquid smoke and blackened seasoning it will surely be a hit among family and friends.,,,,
Chef Johns Chicken Satay Burger,lunch,"I love chicken satay, that spicy meat on a stick, marinated and grilled and served with a peanut sauce. I tried to get that same effect with a chicken burger.",,,,
Ground Chicken Taco Burgers,dinner,"I came up with these Mexican chicken burgers because my husband and I are trying to add more variety to our diets, and cut back on red meat  and they are delish! I used my George Foreman grill to cook them. I served them with the spicy baked sweet potato fries found on Allrecipes. They make a nice substitution for a regular cheeseburger and fries.",,,,
Asian-Inspired Chicken Lettuce Wraps,dinner,Yummy ground chicken lettuce wraps with Asian flavors.,,,,
Chicken and Chorizo Chili,dinner,Easy and delicious chili recipe.,,,,
Salsa Chicken Meatloaf,lunch,"A Mexican flavor-inspired chicken meatloaf. Chicken makes this lower in fat than regular meatloaf, and adding pork keeps the meatloaf from tasting dry.",,,,
French Onion Chicken Meatballs,appetizer,Richly seasoned meatballs baked with a rich French onion sauce and topped with melted Gruyere cheese make this a meal fit for hosting guests. Serve them with egg noodles or some seasoned red potatoes and French bread on the side.,,,,
Shami Kebab,dinner,"Shami kebab is a popular local variety of kebab from the Indian subcontinent. It is part of the Pakistani, Punjabi, Indian, and Bangladeshi cuisines. Serve with sweet chile sauce or plum chutney.",,,,
Air Fryer Oven Buffalo Chicken Jerky Sticks,dinner,"If you love Buffalo chicken, then you'll want to dehydrate some jerky to take with you on your next hiking adventure or camping trip. Store in an airtight container. After 3 days, refrigerate any leftover sticks for up to 5 days.",,,,
Lighter Mexican Meatloaf,dinner,"This is a great combination of Mexican flavors with light ingredients. This is a great make-ahead meal. The meatloaf can be assembled the night before and topped with half of the enchilada sauce, then covered and refrigerated overnight. Throw it in the oven the next day for a quick and easy meal.",,,,
CAMPBELLS All-In-One Creamy Chicken Stroganoff,dinner,"This classic dish gets a chicken makeover and since the sauce, meat, veggies and noodles all cooktogether in one pot, dinner has never been easier! Season with freshly ground black pepper and sprinkle with chopped fresh parsley if desired.",,,,
Peppers Stuffed with Chicken and Rice,dinner,"Green bell peppers stuffed with ground chicken, rice, veggies, and cheese. One of my best dishes yet!",,,,
Zesty Chicken Meatloaf,dinner,This is a nice change of pace from the usual meatloaf.,,,,
Ground Chicken Chili,dinner,"After trying other white chili recipes, I created my own that full with ground chicken, beans, peppers, and savory herbs, hot-spicy yet sweet, and creamy for a change from tomato-based chili. My partner frequently takes my cooking to work for colleagues to sample, and they said this is not only some great chili with kick, it's one of the best non-standard chilis they've eaten! Thick and robust, great for dinner on a cool evening. Up the ante with tortilla chips or corn muffins as a side--with kernel corn and diced chiles added to the muffin batter.",,,,
Spicy Chicken Curry Meatballs,dinner,"A tasty take on chicken tikka masala. Serve over warm rice or with naan! Don't let the number of spices scare you off, the flavor of this dish is complex and satisfying.",,,,
Chilly Day Chili,dinner,"Make this easy and surprisingly hearty chili with ground chicken or turkey. Simmer 3 hours on stove top, or 8 hours in a slow cooker on Low (3 hours on High).",,,,
Buffalo Chicken Sloppy Joes,dinner,"Guaranteed to be an instant comfort food favorite. Inspired by a Rachel Ray recipe, I have modified it by adding a creamy and cheesy kick to it. You'll be dreaming about this dish. Feel free to play with the recipe. I put in the cream cheese and Cheddar to make it creamier. I am a huge fan of Buffalo Chicken Dip and wanted this dish to be similar.",,,,
Easy Buffalo Chicken Meatballs,lunch,"Started in the oven and finished up in the slow cooker, these easy Buffalo chicken meatballs have all of your favorite chicken wing flavor but are much easier and less messy to eat. They're moist and tender with a slightly toasted exterior and coated in a tangy, spicy sauce with just a hint of sweetness. Use thin celery sticks as skewers and serve them with ranch dressing. Perfect for parties or tailgating!",,,,
Instant Pot Egg Roll in a Bowl,dinner,"All of the flavor of an egg roll in a bowl! Serve with or without rice. Garnish with Sriracha sauce, sesame seeds, and green onion.",,,,
Traditional Gyros,unknown,Make a Greek gyro sandwich at home with this recipe that I absolutely love!,,,,
Lamb Burgers,dinner,"This lamb burger recipe was the best one I made when I bought a selection of lamb cuts from a CSA and got several one-pound packages of ground lamb. Top them with Dijon mayo, tomato slices, and baby greens.",,,,
Serbian evapii,lunch,"evapii is a tasty homemade grilled sausage. This tasty Serbian-style version uses ground pork, beef, and lamb. Great served in a sandwich!",,,,
Traditional Shepherds Pie,dinner,"This traditional shepherd's pie is rich and meaty. It's made with a mixture of lamb and sirloin and topped with a creamy, cheesy mashed potato topping  sure to delight everyone at the table!",,,,
Indian-Style Seekh Kebab,appetizer,These lamb seekh kebabs are a spicy and extremely flavorful recipe that will surely be a hit at any outdoor party.,,,,
