recipe name,Category,Description,Instructions,Grocery Items,Grocery Quantities,Grocery Types,Total Time,Serving Size,Fused Grocery,Total Calories,Total Protein,Total Fat,Total Carbs,Total Cost
Moms Apple Pie I,dessert,My Mom makes the best Apple Pie I have ever tasted. Now I would like to share her secret with you. Serve with vanilla ice cream if you wish.,"Preheat oven to 450 degrees F (225 degrees C). Fit bottom crust into a 9 inch pie plate.
In a small bowl, mix together sugar, flour, salt, cinnamon, and nutmeg. Place sliced apples in a large bowl and sprinkle with sugar mixture. Toss until apples are thoroughly coated. Spoon apples into pan.
Dot apples with butter or margarine, then sprinkle with whiskey. Cover with top crust. Seal edges and cut steam vents in top.
Bake in preheated oven for 10 minutes. Lower temperature to 350 degrees F (175 degrees C) and bake an additional 40 minutes. Serve warm.","pastry for a 9 inch double crust pie
white sugar
all-purpose flour
salt
ground cinnamon
ground nutmeg
tart apples - peeled
butter
whiskey","[1.0, 0.75, 2.0, 1.0, 1.0, 0.25, 6.0, 2.0, 2.0]","recipe
cup
tablespoon
teaspoon
teaspoon
teaspoon

tablespoon
tablespoon",,8.0,"recipe of pastry for a 9 inch double crust pie
cup of white sugar
tablespoon of all-purpose flour
teaspoon of salt
teaspoon of ground cinnamon
teaspoon of ground nutmeg
of tart apples - peeled
tablespoon of butter
tablespoon of whiskey",1435.0,4.025,25.05,305.425,3.6175
Artichoke Dip,appetizer,"This dip is good hot, cold, or room temperature. Serve it with tortilla chips or pita wedges and be sure to get your taste, because it doesn't last long at a party!","Preheat oven to 350 degrees F (175 degrees C).
Combine the artichoke hearts, mayonnaise, cheese and green chilies. Mix well and pour into a 2 quart casserole dish.
Bake for 20 to 25 minutes or until lightly browned. Garnish with chopped green onions and chopped tomato if desired.","artichoke hearts
mayonnaise
grated parmesan cheese
diced green chiles","[1.0, 1.0, 1.0, 1.0]"," can
cup
cup
 can",,15.0," can of artichoke hearts
cup of mayonnaise
cup of grated parmesan cheese
 can of diced green chiles",2096.0,34.0,219.0,4.0,3.5
Artichoke Cheese Dip,appetizer,"A wonderful, rich appetizer, that is extremely delicious with toasted French Bread.","Preheat oven to 350 degrees F (175 degrees C).
Combine the mayonnaise, Cheddar cheese, Jack cheese, onion salt, dill weed, lemon pepper and artichoke hearts. Mix well and pour into a 2 quart baking dish.
Bake uncovered for 30 minutes. Serve with toasted French bread or garlic bread.","mayonnaise
shredded cheddar cheese
shredded monterey jack cheese
onion salt
dried dill weed
lemon pepper
artichoke hearts","[0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.5]","cup
cup
cup
teaspoon
teaspoon
teaspoon
 can",,6.0,"cup of mayonnaise
cup of shredded cheddar cheese
cup of shredded monterey jack cheese
teaspoon of onion salt
teaspoon of dried dill weed
teaspoon of lemon pepper
 can of artichoke hearts",990.0,10.5,107.0,0.2,1.1
Cheesy Artichoke Dip by Jean Carper,appetizer,"Here's an easy, lower-fat version of warm artichoke-cheese dip. In new research, artichoke hearts tested surprisingly high in antioxidant activity -- even more per cup than strawberries. Garlic and chives are high in antioxidants, too, and fat-free cottage cheese helps keep the fat and calorie counts down.","Preheat oven to 350 degrees.
Cook artichokes according to package directions; chop roughly. Set aside.
In a food processor, mix all ingredients except artichokes and Parmesan cheese until smooth.
Stir in artichokes. Pour mixture into a 9-inch baking dish. Sprinkle with Parmesan.
Bake for 30 minutes. If top hasn't browned, put under broiler.
Let sit for 15 minutes before (it may be watery when first removed from the oven). Serve with toasted whole-wheat pita chips.","frozen artichoke hearts
fat-free cottage cheese
herbed goat cheese
dijon mustard
fresh lemon juice
garlic cloves
worcestershire sauce
light mayonnaise
fat-free half-and-half
chopped chives
salt and pepper
grated parmesan cheese","[2.0, 1.5, 4.0, 4.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25]"," packages
cup
ounces
teaspoon
tablespoon

tablespoon
cup
cup
cup

cup",,9.0," packages of frozen artichoke hearts
cup of fat-free cottage cheese
ounces of herbed goat cheese
teaspoon of dijon mustard
tablespoon of fresh lemon juice
of garlic cloves
tablespoon of worcestershire sauce
cup of light mayonnaise
cup of fat-free half-and-half
cup of chopped chives
of salt and pepper
cup of grated parmesan cheese",1086.25,46.1,83.1,18.8,4.885
8 From-Scratch Baked Beans Recipes Thatll Make You the Star of the BBQ,dinner,"Sarra Sedghi is an Associate Editor at Allrecipes and is based in Birmingham, Alabama. In 2017 she graduated with a Master's of Fine Arts in Narrative Media Writing from the University of Georgia. Her work has also appeared in Atlas Obscura, Eater, Polygon, Thrillist, and Paste Magazine. She is an American-Iranian hybrid and large dog enthusiast, and is very loosely working on a memoir.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Oatmeal Carmelitas,dessert,"Chewy gooey caramel, nuts and chocolate. We call them Goober Cookies. They taste great the next day if you get them to last that long.","Preheat oven to 350 degrees F (175 degrees C). Grease one 9x9 inch square pan.
Combine the 1 cup flour, baking soda, oats, brown sugar, salt and melted butter. Mix to combine, mixture will be very crumbly. Press half of the mixture into the bottom of the prepared pan.
Bake at 350 degrees F (175 degrees C) for 10 minutes.
Let cool slightly then sprinkle over the crust the chocolate chips and chopped nuts. Mix the caramel ice cream topping with the 3 tablespoons of flour and drizzle over the chocolate chips. Top with the remaining oatmeal mixture. You will need to break it into small pieces to cover.
Bake at 350 degrees F (175 degrees C) for 15 minutes. Let bars cool before cutting.","all-purpose flour
baking soda
quick cooking oats
packed brown sugar
melted butter
salt
semisweet chocolate chips
chopped walnuts
caramel ice cream topping
all-purpose flour","[1.0, 0.5, 1.0, 0.75, 0.75, 0.25, 6.0, 0.5, 0.75, 3.0]","cup
teaspoon
cup
cup
cup
teaspoon
ounces
cup
cup
tablespoon",,36.0,"cup of all-purpose flour
teaspoon of baking soda
cup of quick cooking oats
cup of packed brown sugar
cup of melted butter
teaspoon of salt
ounces of semisweet chocolate chips
cup of chopped walnuts
cup of caramel ice cream topping
tablespoon of all-purpose flour",3451.5,30.85,214.3,351.1,4.0925
O Henry Bars,dessert,Very good bars.,"Preheat oven to 350 degrees F (180 degrees C).
Mix the oats, brown sugar, butter or margarine, and white corn syrup. Pat into a 10 x 15 inch pan. Bake for 10 to 15 minutes. Do not over bake.
Melt chocolate chips and peanut butter. Spread over baked crust while hot. Cut into bars right away.","rolled oats
packed brown sugar
butter
white corn syrup
semisweet chocolate chips
peanut butter","[4.0, 1.0, 1.0, 0.5, 1.0, 0.75]","cup
cup
cup
cup
cup
cup",,12.0,"cup of rolled oats
cup of packed brown sugar
cup of butter
cup of white corn syrup
cup of semisweet chocolate chips
cup of peanut butter",4786.0,46.9,329.5,420.7,3.125
Cherry Yum Yum,dessert,"Almost like cherry cheesecake cookie bars. Quick, easy and oh-so rich.","Preheat oven to 350 degrees F (175 degrees C).
Combine the butter or margarine, flour, white sugar and chopped pecans. Press mixture into the bottom of one 9x13 inch baking dish and bake at 350 degrees F (175 degrees C) for 20 minutes. Allow crust to cool completely before preceding.
Prepare the dream whip according to the package directions.
Blend the cream cheese and the confectioners' sugar together. Fold in the dream whip and spread over the top of the cooled crust. Top with the cherry pie filling and refrigerated before.","butter
all-purpose flour
white sugar
chopped pecans
cream cheese
whipped topping mix
cherry pie filling
confectioners' sugar","[0.75, 1.5, 2.0, 0.75, 1.0, 1.0, 1.0, 2.0]","cup
cup
tablespoon
cup
 package
 envelope
 can
cup",,24.0,"cup of butter
cup of all-purpose flour
tablespoon of white sugar
cup of chopped pecans
 package of cream cheese
 envelope of whipped topping mix
 can of cherry pie filling
cup of confectioners' sugar",3630.5,20.1,154.65,546.8,2.165
Mound Bars,dessert,Coconut bars on a graham crust topped with chocolate.,"Preheat oven to 350 degrees F (175 degrees C).
Combine the graham cracker crumbs, sugar and melted butter or margarine. Mix and pat into the bottom of one 9x13 inch baking pan. Bake at 350 degrees F (175 degrees C) for 15 minutes.
Combine the condensed milk and flaked coconut. Spread over the crust and bake at 350 degrees F (175 degrees C) for 15 minutes.
Spread the melted chocolate chips over the top. Let cool and cut into squares.","graham cracker crumbs
white sugar
melted butter
sweetened condensed milk
flaked coconut
semisweet chocolate chips","[2.0, 0.25, 0.5, 1.0, 2.0, 1.0]","cup
cup
cup
 can
cup
 package",,24.0,"cup of graham cracker crumbs
cup of white sugar
cup of melted butter
 can of sweetened condensed milk
cup of flaked coconut
 package of semisweet chocolate chips",1813.5,10.1,154.0,117.75,2.375
Peanut Butter Crispies II,dessert,My aunt used to make these when I was a little girl. I think they are a nice change from marshmallow treats.,"In a medium sauce pan, mix together sugar, peanut butter, and corn syrup. Be careful not to let it burn, or it will ruin the recipe. Stir mixture until well melted. Remove pan from heat.
Combine warm peanut butter mixture with crisp rice cereal.
Grease well a 9 x 13 inch pan with butter or margarine. Spread mixture in pan. Allow to cool. When mixture is no longer sticky to the touch, cut into bars.","crisp rice cereal
white sugar
peanut butter
corn syrup
butter","[6.0, 1.0, 1.0, 1.0, 1.0]","cup
cup
cup
cup
tablespoon",,12.0,"cup of crisp rice cereal
cup of white sugar
cup of peanut butter
cup of corn syrup
tablespoon of butter",3394.0,38.1,173.5,432.1,4.54
16 Recipes to Make with Stew Meat Besides Stew,dinner,"Stew meat is made from inexpensive cuts of meat with tough connective tissue, which is why it is usually braised in a liquid like stock to make stew. But sometimes you need a break from a classic beef stew. You can really stretch your budget by using stew meat to cook a multitude of dishes. In fact, it's never a bad idea to stock up on this cheap cut and freeze it for future meals. Wondering what to make with stew meat? Here are 16 recipe ideas that use stew meat that aren't stew.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Old-Fashioned Beef Stew,dinner,"I took my Grandmother's recipe, trimmed the fat and enhanced the flavor.","Coat beef with flour, shaking off excess. In a large nonstick stock pot, heat oil over medium-high heat, add beef and saute until brown, approximately 6 minutes. Remove beef from stock pot and set aside.
Add onions and mushrooms to stock pot and saute for 6 minutes. Add garlic and saute for 1 minute, continually stirring.
Skim off fat any fat from the stock pot and return cooked beef to pot; stir in tomato paste and broth. Add enough water to just cover ingredients and bring to a boil. Reduce heat to low and simmer until beef is tender, about 1 hour and 15 minutes.
Skim off any foam that has accumulated on the surface of stew and add carrots, potatoes and green beans. Cover partially and simmer for 15 minutes.
In a small mixing bowl, mix cornstarch and cold water. Stir mixture into stew. Increase heat and boil uncovered for 1 minute. Sprinkle with parsley and serve.","lean beef chuck
all-purpose flour
vegetable oil
onions
fresh sliced mushrooms
garlic
tomato paste
beef broth
sliced carrots
russet potatoes
chopped fresh green beans
cornstarch
cold water
chopped parsley","[1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 1.0, 1.0, 1.0, 0.25]","pound
tablespoon
teaspoon

cup
cloves
teaspoon
cup
cup

cup
tablespoon
tablespoon
cup",,6.0,"pound of lean beef chuck
tablespoon of all-purpose flour
teaspoon of vegetable oil
of onions
cup of fresh sliced mushrooms
cloves of garlic
teaspoon of tomato paste
cup of beef broth
cup of sliced carrots
of russet potatoes
cup of chopped fresh green beans
tablespoon of cornstarch
tablespoon of cold water
cup of chopped parsley",1467.5,96.175,62.7,118.6,9.3425
16 Recipes to Make with Stew Meat Besides Stew,dinner,"Stew meat is made from inexpensive cuts of meat with tough connective tissue, which is why it is usually braised in a liquid like stock to make stew. But sometimes you need a break from a classic beef stew. You can really stretch your budget by using stew meat to cook a multitude of dishes. In fact, it's never a bad idea to stock up on this cheap cut and freeze it for future meals. Wondering what to make with stew meat? Here are 16 recipe ideas that use stew meat that aren't stew.",,,[],,,,of ,0.0,0.0,0.0,0.0,0.0
Easy Barbeque Beef Tenderloin Steak,dinner,"This is a simple treatment for tender cuts. No long marinating, no complicated basting sauce - just the steak and a little garlic.","Rub meat with olive oil and crushed garlic. Sprinkle with tenderizer. Cover, and refrigerate for 30 minutes.
Preheat grill for medium high heat.
Brush grate with oil, and place steaks on the grill. Cook for 5 to 7 minutes per side, or until done.","beef tenderloin
olive oil
crushed garlic
meat tenderizer","[2.0, 1.0, 2.0, 1.0]"," steaks
tablespoon
cloves
teaspoon",,2.0," steaks of beef tenderloin
tablespoon of olive oil
cloves of crushed garlic
teaspoon of meat tenderizer",127.0,0.4,14.0,1.8,0.17
Italian Biscotti,dessert,A traditional biscotti recipe. Great for dunking in coffee or tea.,"Preheat oven to 350 degrees F ( 165 degrees C ).
In a large bowl, cream the butter and sugar together. Add eggs one at a time; beat until fluffy. Stir in the anise and vanilla extracts. Sift together the flour, baking powder, and salt; Add them to the egg mixture along with the chopped almonds. Stir with a spoon and as the dough comes together, Knead by hand.
Divide the dough into 4 parts. Roll each piece into a log about 15 inches long. Place logs onto cookie sheets, 2 to a sheet, the long way. Flatten the logs out until they are about 3 inches wide with a slight hump going down the middle. Bake for 25 to 30 minutes in the preheated oven, loaves should be firm. Cut the loaves into diagonal slices 1/2 inch wide, place the slices onto the cookie sheets and return to the oven. Toast on one side, then turn them over to do the other side. This will take about 7 to 10 minutes.","butter
white sugar
eggs
anise extract
vanilla extract
all-purpose flour
salt
baking powder
chopped almonds","[12.0, 1.75, 6.0, 1.0, 2.0, 6.0, 0.5, 2.0, 8.0]","ounces
cup

teaspoon
teaspoon
cup
teaspoon
teaspoon
ounces",,30.0,"ounces of butter
cup of white sugar
of eggs
teaspoon of anise extract
teaspoon of vanilla extract
cup of all-purpose flour
teaspoon of salt
teaspoon of baking powder
ounces of chopped almonds",7076.5,151.2,286.0,959.85,8.58
Orange Almond Biscotti II,dessert,These biscotti are very low in fat but they are delicious. You can substitute the almonds with 3/4 cup cranberries.,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour a baking sheet.
In a large bowl, stir together flour, sugar, baking powder, salt, almonds, and orange zest. Make a well in the center and add the eggs oil, and almond extract. Stir or mix by hand until the mixture forms a ball.
Separate dough into 2 pieces and roll each one into a log about 8 inches long. Place logs on prepared baking sheet and flatten so they are about 3/4 inch thick. Bake in preheated oven for 20 to 25 minutes. Cool slightly, and remove from baking sheets. Slice diagonally into 1/2 inch slices with a serrated knife. Set cookies on side back onto the cookie sheet and bake for 10 to 15 more minutes, turning over after half of the time. Finished cookies should be hard and crunchy.","all-purpose flour
white sugar
salt
baking powder
sliced almonds
orange zest
egg
vegetable oil
almond extract","[2.25, 1.25, 1.0, 2.0, 0.5, 1.0, 3.0, 1.0, 0.25]","cup
cup
pinch
teaspoon
cup
tablespoon

tablespoon
teaspoon",,12.0,"cup of all-purpose flour
cup of white sugar
pinch of salt
teaspoon of baking powder
cup of sliced almonds
tablespoon of orange zest
of egg
tablespoon of vegetable oil
teaspoon of almond extract",2740.5,53.25,68.25,467.5,3.05
Chocolate Nut Biscotti,dessert,"Delicious, not too crispy biscotti, which can be dipped in or drizzled with melted chocolate. (You can use slivered almonds instead of the hazelnuts, if you wish.)","Preheat oven to 350 degrees F (180 degrees C). Grease and lightly flour cookie sheet.
In a small bowl, mix flour, baking powder and salt.
Beat butter and sugar in large bowl until light and fluffy. Beat in eggs and vanilla. Gradually add flour mixture, beating well after each addition. Stir in chocolate and nuts.
Divide dough into two equal parts. On floured surface, shape dough into two logs, 14 inches long, 1-1/2 inches wide and 1 inch thick. Place two inches apart on prepared cookie sheet.
Bake for 25 minutes or until lightly browned. Remove to a cutting board. Let cool 5 minutes. Cut into 3/4 inch thick diagonal slices and return to cookie sheet, standing upright.
Bake 10 minutes more or until slightly dry. Cool completely on wire racks.","all-purpose flour
baking powder
salt
butter
white sugar
eggs
vanilla extract
bittersweet chocolate bar with almond nougat
chopped hazelnuts","[2.0, 1.5, 0.25, 0.5, 0.75, 2.0, 1.0, 1.0, 1.0]","cup
teaspoon
teaspoon
cup
cup

teaspoon
 package
cup",,18.0,"cup of all-purpose flour
teaspoon of baking powder
teaspoon of salt
cup of butter
cup of white sugar
of eggs
teaspoon of vanilla extract
 package of bittersweet chocolate bar with almond nougat
cup of chopped hazelnuts",3288.5,51.45,180.0,354.15,3.0325
