type,title,info,meal_plans
moms,indian,"[14681.0, 527.31, 810.37, 1208.43, 73.195, 661, 64]",['curry-licious delight!']
moms,asian,"[14104.25, 389.1, 1285.05, 341.35, 35.215, 999, 62]",['east-west fusion fiesta!']
moms,asian,"[13151.0, 711.9, 886.0, 368.25, 76.3425, 795, 25]",['east-meets-west fusion feast']
moms,asian,"[13120.25, 399.775, 1012.875, 665.425, 61.8925, 860, 46]",['asian fusion fiesta!']
moms,asian,"[13480.75, 652.45, 924.1, 739.5, 78.515, 430, 24]",['east meets west fusion feast!']
moms,asian,"[13801.0, 776.825, 674.575, 1102.925, 86.1575, 970, 70]",['fiery fusion feast!']
moms,asian,"[14595.25, 428.825, 984.075, 1004.3, 53.8, 1120, 55]",['gingerly tangy teriyaki delight']
moms,asian,"[13169.75, 475.475, 911.95, 830.525, 49.4325, 704, 68]",['east meets west: a fusion feast!']
moms,asian,"[13239.25, 561.8, 1076.0, 242.5, 50.67, 315, 47]",['east meets west: a fusion of asian cuisine']
moms,asian,"[14956.6, 555.7, 757.35, 1453.65, 64.725, 374, 46]",['east-west fusion feast!']
moms,asian,"[14774.0, 654.1, 933.15, 842.9, 77.25, 1078, 38]",['the far east fusion fiesta!']
moms,asian,"[13784.25, 485.5, 1016.5, 541.2, 52.5, 624, 58]",['taste of the pacific fusion']
moms,asian,"[13410.75, 342.5, 627.075, 1533.875, 33.795, 880, 52]",['east meets west: a fusion of flavors!']
moms,date night dinners,"[14789.75, 821.33, 768.135, 996.015, 69.75, 914, 66]",['a taste of the wild west!']
moms,date night dinners,"[13131.0, 449.55, 468.975, 1566.85, 71.265, 850, 40]",['the emerald feast!']
moms,date night dinners,"[13003.25, 270.25, 751.125, 1204.5, 64.24, 280, 45]",['the gourmet garden feast']
moms,date night dinners,"[13781.25, 384.25, 945.175, 946.575, 40.29, 475, 50]",['tasty tropical treats']
moms,date night dinners,"[14238.5, 606.575, 994.95, 658.975, 53.78, 810, 37]",['tropical fusion feast!']
moms,date night dinners,"[14021.25, 298.725, 655.0, 1746.5, 34.67, 317, 52]",['the sweet and savory sampler platter']
moms,date night dinners,"[13888.85, 482.475, 697.85, 1326.6, 50.2475, 245, 40]",['autumnal aromas: cinnamon roll waffle chirashi bowl fresh sugar pumpkin pie pork medallions with balsamic vinegar and capers and instant pot pork chops.']
moms,date night dinners,"[13326.0, 269.0, 718.975, 1426.35, 28.2025, 470, 68]",['the savory-sweet surprise platter']
moms,date night dinners,"[13638.0, 248.325, 747.95, 1467.3, 35.83, 500, 86]",['tropical holiday fusion']
moms,date night dinners,"[14011.25, 455.0, 721.95, 1335.525, 44.8275, 385, 73]",['the lucky seven feast']
moms,date night dinners,"[13384.75, 575.35, 679.075, 1128.2, 63.9175, 970, 56]",['a taste of the southwest fiesta!']
moms,gourmet delights,"[14792.0, 426.9, 847.825, 1531.075, 56.035, 1360, 94]",['a festive fusion feast!']
moms,gourmet delights,"[14233.5, 319.4, 839.8, 1302.1, 32.1475, 555, 49]",['the unconventional platter']
moms,gourmet delights,"[13885.75, 451.575, 488.1, 1693.7, 99.125, 2890, 144]",['festive feast of flavors!']
moms,gourmet delights,"[14528.75, 320.4, 761.6, 1527.15, 46.9825, 902, 33]",['tantalizing treats & tasty temptations!']
moms,gourmet delights,"[13318.75, 265.975, 670.275, 1497.875, 43.9025, 1137, 86]",['the lemon fudge oat-tastic extravaganza!']
moms,gourmet delights,"[14916.75, 476.6, 867.15, 1221.7, 54.96, 1275, 167]","[""the grand adventurer's feast!""]"
moms,gourmet delights,"[14187.5, 672.6, 897.4, 742.75, 72.8775, 605, 48]",['the sweet and savory feast']
moms,gourmet delights,"[14350.25, 302.375, 965.225, 1193.325, 37.445, 1400, 70]",['the oaty potato sushi feast!']
moms,gourmet delights,"[13576.0, 425.35, 811.7, 1074.575, 48.1725, 535, 72]",['the fusion fiesta!']
moms,rice and grain galore,"[14232.52, 436.547, 735.933, 1321.949, 41.4575, 1038, 69]",['the savory-sweet sensation']
moms,rice and grain galore,"[13515.25, 335.35, 468.05, 1932.25, 22.16, 605, 52]",['the global fusion plate.']
moms,rice and grain galore,"[13791.0, 411.525, 851.95, 1162.575, 50.11, 1305, 53]",['aromatic adventure']
moms,rice and grain galore,"[14497.25, 408.175, 1116.55, 507.45, 39.55, 480, 32]",['the eclectic feast!']
moms,rice and grain galore,"[14056.0, 376.755, 828.71, 1279.39, 38.855, 345, 71]",['the mediterranean harvest feast']
moms,rice and grain galore,"[14073.4, 437.275, 726.2, 1447.2, 41.605, 491, 119]",['tastebud tour: a global fusion of flavors!']
moms,rice and grain galore,"[13015.0, 422.375, 672.35, 1358.075, 32.5875, 395, 70]",['the fusion feast!']
moms,rice and grain galore,"[13006.75, 306.275, 682.55, 1338.225, 29.0625, 726, 124]",['the savory & sweet symphony']
moms,rice and grain galore,"[13781.25, 202.425, 946.525, 1126.325, 25.8875, 700, 58]",['grainy goodness galore!']
moms,southern comfort,"[14211.25, 711.75, 742.25, 1176.8, 55.86, 1465, 59]",['the great breakfast lunch and dinner extravaganza!']
moms,southern comfort,"[13014.25, 448.975, 711.95, 1197.3, 35.925, 1725, 60]",['the island fiesta feast']
moms,southern comfort,"[13843.25, 590.925, 555.1, 1531.25, 41.8125, 830, 78]",['the great southern potato fiesta!']
moms,southern comfort,"[13561.25, 361.9, 682.2, 1344.2, 40.3475, 300, 40]",['the global breakfast bonanza!']
moms,southern comfort,"[13771.0, 270.075, 814.15, 1291.55, 23.24, 585, 109]",['the potato potpourri!']
moms,southern comfort,"[13209.6, 399.325, 781.9, 1022.8, 50.4275, 1840, 68]",['taste of the tropics and beyond!']
moms,southern comfort,"[14088.1, 277.875, 1032.295, 983.6, 39.3825, 1015, 48]",['tropical fiesta fiesta!']
moms,southern comfort,"[13655.75, 409.8, 901.3, 959.35, 37.3725, 750, 88]",['island fiesta fiesta!']
moms,southern comfort,"[14035.0, 620.325, 1106.75, 269.6, 62.42, 1025, 58]",['southern comfort fiesta!']
moms,southern comfort,"[13466.0, 450.15, 745.025, 1162.75, 44.305, 1290, 58]",['the all-american feast!']
moms,southern comfort,"[13460.0, 410.575, 703.025, 1344.725, 36.055, 1475, 65]",['the international comfort food extravaganza!']
moms,southern comfort,"[14859.5, 385.45, 866.85, 1446.225, 54.29, 1210, 71]",['the all-american comfort food extravaganza!']
moms,southern comfort,"[13110.0, 455.3, 910.6, 760.725, 34.0525, 455, 64]",['the bayou brunch bash!']
moms,southern comfort,"[13819.5, 495.525, 828.925, 1061.85, 41.42, 390, 58]",['the southern comfort feast!']
moms,italian,"[13145.5, 489.675, 811.675, 906.575, 50.3725, 335, 54]",['taste of italy extravaganza!']
moms,italian,"[13520.0, 460.5, 810.05, 1087.45, 40.1475, 1095, 57]",['the italian-polish-american fusion feast!']
moms,italian,"[14024.75, 456.61, 864.72, 1095.205, 35.7775, 935, 46]",['the epic italian feast']
moms,italian,"[13114.89, 780.59, 805.13, 686.705, 59.8323, 343, 23]",['italian fusion fiesta!']
moms,italian,"[14082.75, 595.1, 860.65, 971.125, 54.6075, 940, 54]",['the mediterranean fusion feast!']
moms,italian,"[14832.3, 537.525, 927.975, 958.175, 47.02, 375, 94]",['the savory sage supper']
moms,italian,"[14051.25, 404.575, 940.75, 954.725, 48.7025, 595, 48]",['the garden harvest feast']
moms,italian,"[14326.75, 722.125, 688.6, 1214.525, 47.985, 1000, 36]",['the savory surprise platter']
moms,italian,"[13488.75, 475.57, 663.89, 1302.46, 36.375, 755, 49]",['taste of italy: a mediterranean feast!']
moms,pasta perfection,"[13377.75, 588.195, 596.49, 1301.43, 45.685, 485, 50]",['the international culinary adventure!']
moms,pasta perfection,"[13674.25, 675.475, 548.775, 1379.2, 37.9925, 415, 48]",['the eclectic entr�e extravaganza!']
moms,pasta perfection,"[14019.5, 300.425, 631.15, 1713.3, 27.4975, 1110, 65]",['the knish-gnocchi-mac salad-fruit salad-tuna-chicken-gnocchi extravaganza!']
moms,pasta perfection,"[13783.5, 345.225, 1061.875, 663.95, 29.1, 490, 44]",['the pasta-licious picnic!']
moms,pasta perfection,"[13908.75, 395.795, 982.84, 868.93, 32.22, 415, 44]",['tropical italian fusion feast']
moms,pasta perfection,"[13602.8, 522.775, 509.7, 1505.775, 38.3025, 1017, 124]",['fusion of flavors meal plan']
moms,pasta perfection,"[13761.5, 611.525, 764.625, 826.025, 51.5425, 345, 36]",['the savory six-pack']
moms,pasta perfection,"[13893.5, 302.05, 1114.15, 697.95, 34.49, 370, 50]",['tropical macaroni fiesta!']
moms,pasta perfection,"[13874.5, 403.3, 915.35, 949.7, 46.6625, 765, 80]",['the italian-newfie fusion feast!']
moms,pasta perfection,"[13220.0, 444.55, 687.825, 1179.125, 32.53, 935, 68]",['the gourmet grazer']
moms,pasta perfection,"[13955.0, 723.05, 727.425, 1023.75, 43.77, 1100, 40]",['cheesy christmas comfort feast']
moms,pasta perfection,"[13972.75, 320.475, 961.275, 984.675, 31.365, 930, 60]",['the grandma-mama-buffalo-greek-tuna-stroganoff-polenta extravaganza!']
moms,chicken creations,"[13471.75, 526.025, 943.75, 741.55, 48.09, 235, 35]",['fiesta fowl feast']
moms,chicken creations,"[13426.25, 427.825, 885.125, 697.95, 32.3775, 815, 44]",['fiesta fiesta fiesta chicken fiesta!']
moms,chicken creations,"[14151.0, 410.2, 791.4, 949.3, 46.7775, 475, 46]",['comforting kitchen delight']
moms,chicken creations,"[13596.0, 516.45, 1015.4, 427.5, 50.875, 1273, 41]","[""the cluckin' crazy combo!""]"
moms,chicken creations,"[13293.65, 773.4, 572.125, 1140.55, 60.765, 1111, 42]",['the grand fusion feast']
moms,chicken creations,"[13484.5, 540.585, 934.87, 749.48, 40.725, 735, 53]",['feast of fowl and fancies']
moms,chicken creations,"[14767.0, 525.625, 1025.175, 793.325, 43.7575, 1075, 38]",['tropical southern fiesta!']
moms,chicken creations,"[14611.5, 686.325, 748.325, 1160.55, 61.0425, 1500, 67]","[""flockin' delicious!""]"
moms,chicken creations,"[13889.25, 296.375, 958.875, 569.525, 48.785, 785, 52]",['fiesta fowl feast!']
moms,beef dishes,"[13227.5, 974.75, 803.0, 493.7, 65.0625, 1750, 43]",['the global brisket bonanza!']
moms,beef dishes,"[13952.75, 883.975, 781.275, 827.1, 64.3325, 1720, 45]",['the jewish-asian fusion feast!']
moms,beef dishes,"[13054.75, 834.0, 814.925, 529.2, 73.4725, 1290, 40]",['the worldly palate platter']
moms,beef dishes,"[14045.25, 964.65, 811.3, 665.65, 73.895, 2460, 54]",['a taste of jewish traditions']
moms,beef dishes,"[14221.0, 859.8, 773.325, 817.3, 82.8675, 1775, 48]",['the beefy brunch bonanza!']
moms,beef dishes,"[13817.0, 991.5, 785.225, 600.4, 96.4425, 2105, 54]",['the beefy bonanza!']
moms,beef dishes,"[14362.75, 897.875, 731.95, 943.85, 64.915, 1895, 48]",['the all-american beef bonanza!']
moms,beef dishes,"[14715.0, 963.775, 835.275, 832.2, 78.835, 2010, 53]",['the eclectic feast of beef!']
moms,beef dishes,"[14432.0, 928.25, 785.3, 870.6, 61.8525, 1970, 45]","[""fusion of flavors: grandma's pot roast and sweet & sour brisket with korean ground beef and barbecued beef!""]"
moms,beef dishes,"[13987.75, 994.475, 797.275, 626.675, 96.35, 2095, 42]",['the savory and sweet feast']
moms,beef dishes,"[14671.5, 1082.65, 838.8, 630.45, 71.4575, 2285, 55]","[""the grandma's best variety platter""]"
moms,beef dishes,"[14907.0, 1013.875, 883.975, 712.4, 71.555, 2055, 48]","[""mama's meaty medley""]"
moms,cajun,"[14594.5, 539.3, 1041.675, 462.475, 90.0125, 1522, 52]",['the louisiana adventure']
moms,cajun,"[14049.0, 708.3, 815.6, 589.45, 95.4575, 1772, 58]",['the big easy spice-fest!']
moms,cajun,"[13013.75, 838.5, 505.975, 706.1, 112.175, 1570, 50]",['the spicy creole seafood fiesta!']
